900	15													
ID	grass_fraction	grass_pattern	tree_fraction	tree_pattern	building_fraction	building_pattern	pavement_fraction	pavement_pattern	soil_fraction	soil_pattern	sdtemp	sntemp	wdtemp	wntemp
27	0.402076125	-0.153797037	0.138961938	-0.63764285	0.216608997	-0.521796611	0.107681661	-0.787372213	0.134117647	-0.742752234	56.46111679	29.8500061	30.51667213	6.29445076
28	0.200692042	-0.526050034	0.156678201	-0.590506552	0.186712803	-0.583677611	0.24733564	-0.272158929	0.162768166	-0.697330541	54.79444885	30.90556145	28.21111679	6.350006104
29	0.025605536	-0.923626315	0.009688581	-0.905748614	0.11916955	-0.543618388	0.399584775	-0.201131605	0.445951557	0.053614185	55.68333817	30.73889542	28.68334007	6.350006104
30	0.410657439	-0.122556431	0.258823529	-0.292133023	0.164844291	-0.644875135	0.059930796	-0.821416423	0.105743945	-0.669327393	54.32222748	28.76667213	30.54445076	6.461117268
31	0.370242215	-0.253388832	0.205121107	-0.47222065	0.195294118	-0.587435434	0.100069204	-0.798875808	0.123044983	-0.668230508	55.46111679	30.71111679	29.8500061	6.488894939
32	0.335086505	-0.31586214	0.197923875	-0.429248593	0.254948097	-0.492061163	0.115155709	-0.739100168	0.08982699	-0.793784481	55.48889542	31.82222748	30.3500061	6.516673088
33	0.372318339	-0.209312216	0.107543253	-0.687152979	0.207750865	-0.5561226	0.140346021	-0.731272157	0.16816609	-0.688233229	56.21111679	29.90556145	30.73889542	6.600006104
34	0.004429066	-0.988051471	0.006643599	-0.96371709	0.533564014	0.216960509	0.279307958	-0.231017877	0.176055363	-0.622797748	56.01667404	29.96111679	31.68333817	6.600006104
35	0.301868512	-0.301311942	0.067128028	-0.750505311	0.163321799	-0.626088682	0.068650519	-0.827603106	0.397370242	-0.282487805	56.07222748	29.93334007	30.71111679	6.711117268
36	0.361799308	-0.208520485	0.108512111	-0.683154422	0.24899654	-0.552400539	0.123183391	-0.819591686	0.156678201	-0.694361189	55.96111679	30.04445076	30.71111679	6.738894939
37	0.697577855	0.41179972	0.215224913	-0.340560766	0.039307958	-0.756077067	0.01550173	-0.915455426	0.03183391	-0.918033548	47.51667404	28.6000061	25.54445076	6.79445076
38	0.490519031	0.094430244	0.19266436	-0.402889468	0.044152249	-0.831943469	0.192387543	-0.642382904	0.07916955	-0.810088997	50.12778473	29.26667213	27.48889542	6.822228432
39	0.696608997	0.27463141	0.283460208	-0.215173438	0.01467128	-0.879539179	0.004152249	-0.856579919	0.001107266	-0.78531272	46.79444885	29.43333817	28.04445076	6.822228432
40	0.082491349	-0.690946647	0.040968858	-0.78573615	0.13633218	-0.679187817	0.46283737	-0.129097519	0.226435986	-0.562867285	56.76667404	32.37778473	29.98889542	6.822228432
41	0.257577855	-0.539148706	0.069204152	-0.788787867	0.262283737	-0.467357499	0.204013841	-0.499483667	0.204705882	-0.595317723	57.21111679	31.82222939	30.07222748	6.850006104
42	0.319031142	-0.316586886	0.141453287	-0.585765127	0.204152249	-0.535351573	0.178269896	-0.606807536	0.154463668	-0.661273195	55.62778473	30.79445076	30.40556145	6.850006104
43	0.722076125	0.541873932	0.150449827	-0.566677943	0.080692042	-0.657491642	0.015778547	-0.890418877	0.029757785	-0.887018909	46.98889542	26.79445076	26.79445076	6.905561447
